種別（カードの場合はカード番号）,作者など,出典,権利種別,その他
キリル文字フォント,Daniel Johnson,TriodPostnaja,"SIL Open Font License, Version 1.1.",
箱上蓋,Аполлинарий Михайлович Васнецов,"""Базар. XVII век""",Public Domain,
ボード地図装飾,Spoon Graphics,https://blog.spoongraphics.co.uk/freebies/download-free-treasure-map-maker-adobe-illustrator,https://blog.spoongraphics.co.uk/legal,
錨,著作者：juicy_fish／出典：Freepik,https://jp.freepik.com/free-vector/two-different-anchors-in-glyph_41529508.htm,https://www.freepikcompany.com/legal?_gl=1*q89ow9*_ga*MTA4NjY3MDA0MS4xNjk5MTU0MDI0*_ga_QWX66025LC*MTY5OTE1NDAyMy4xLjEuMTY5OTE1NDk1Ny42MC4wLjA.*_ga_18B6QPTJPC*MTY5OTE1NDAyNC4xLjEuMTY5OTE1NDk1OC42MC4wLjA.#nav-freepik-license,
ボード地図背景/カード名欄・テキスト欄背景/説明書背景,,https://www.freepik.com/free-vector/yellow-parchment_4393371.htm,https://www.freepikcompany.com/legal?_gl=1*vyka4r*_ga*MTA4NjY3MDA0MS4xNjk5MTU0MDI0*_ga_QWX66025LC*MTY5OTE1NDAyMy4xLjAuMTY5OTE1NDAyMy42MC4wLjA.*_ga_18B6QPTJPC*MTY5OTE1NDAyNC4xLjAuMTY5OTE1NDA1Mi4zMi4wLjA.#nav-freepik-license,
ボードトラック装飾,著作者：gluiki／出典：Freepik,https://jp.freepik.com/free-vector/ornamental-elements-collection_1110453.htm,https://www.freepikcompany.com/legal?_gl=1*vyka4r*_ga*MTA4NjY3MDA0MS4xNjk5MTU0MDI0*_ga_QWX66025LC*MTY5OTE1NDAyMy4xLjAuMTY5OTE1NDAyMy42MC4wLjA.*_ga_18B6QPTJPC*MTY5OTE1NDAyNC4xLjAuMTY5OTE1NDA1Mi4zMi4wLjA.#nav-freepik-license,
夏アイコン,TopeconHeroes,https://icooon-mono.com/15068-%e5%a4%aa%e9%99%bd%e3%82%a2%e3%82%a4%e3%82%b3%e3%83%b3/,https://icooon-mono.com/license/,
冬アイコン,TopeconHeroes,https://icooon-mono.com/14246-%e9%9b%aa%e3%81%ae%e7%b5%90%e6%99%b6%e3%82%a2%e3%82%a4%e3%82%b3%e3%83%b37/,https://icooon-mono.com/license/,
w01(icon),Daniela Howe,https://iconduck.com/sets/rpg-awesome-icons-set,BSD-2,
w02(icon),,Flag of the Emirate of Bukhar,Public Domain,
w03(icon),TopeconHeroes,https://icooon-mono.com/14647-%e9%a6%ac%e3%82%a2%e3%82%a4%e3%82%b3%e3%83%b35/,https://icooon-mono.com/license/,
w04(icon),TopeconHeroes,https://icooon-mono.com/10052-%e3%82%b4%e3%83%bc%e3%82%b8%e3%83%a3%e3%82%b9%e3%81%aa%e7%8e%8b%e5%86%a0%e3%81%ae%e7%84%a1%e6%96%99%e3%82%a2%e3%82%a4%e3%82%b3%e3%83%b3/,https://icooon-mono.com/license/,
w04(icon),TopeconHeroes,https://icooon-mono.com/11434-%e3%82%b7%e3%83%b3%e3%83%97%e3%83%ab%e3%81%aa%e6%8f%a1%e6%89%8b%e3%82%a2%e3%82%a4%e3%82%b3%e3%83%b3/,https://icooon-mono.com/license/,
w05(icon),TopeconHeroes,https://icooon-mono.com/11250-%e5%b7%a5%e5%a0%b4%e3%81%ae%e3%82%a2%e3%82%a4%e3%82%b3%e3%83%b3%e7%b4%a0%e6%9d%90/,https://icooon-mono.com/license/,
w06(icon),Sodacan,https://commons.wikimedia.org/wiki/File:Lion_and_Sun_Emblem_of_Iran.svg,CC BY-SA 3.0,
w07(icon),Sodacan,https://commons.wikimedia.org/wiki/File:Plain_Yellow_Banner.svg,CC BY-SA 4.0,
w08(icon),Sodacan,https://commons.wikimedia.org/wiki/File:Arms_of_the_Dutch_Republic.svg,CC BY-SA 3.0,
w09(icon),TopeconHeroes,https://icooon-mono.com/14572-%E3%82%AB%E3%83%8C%E3%83%BC%E3%82%A2%E3%82%A4%E3%82%B3%E3%83%B33/,https://icooon-mono.com/license/,
w10(icon),TopeconHeroes,https://icooon-mono.com/14223-%e3%82%bd%e3%83%aa%e3%81%ae%e3%82%a2%e3%82%a4%e3%82%b3%e3%83%b3/,https://icooon-mono.com/license/,
w11(icon),Flaticon.com,https://www.flaticon.com/free-icon/wooden-box_65818#,https://www.freepikcompany.com/legal?_ga=2.233215582.1970465491.1699153753-1435044137.1699153753&_gl=1*h6qjvi*test_ga*MTQzNTA0NDEzNy4xNjk5MTUzNzUz*test_ga_523JXC6VL7*MTY5OTE1Mzc1NC4xLjEuMTY5OTE1Mzc3Ny4zNy4wLjA.*fp_ga*MTQzNTA0NDEzNy4xNjk5MTUzNzUz*fp_ga_1ZY8468CQB*MTY5OTE1Mzc1NC4xLjEuMTY5OTE1Mzc3OC4zNi4wLjA.#nav-flaticon,
